list-dl-none,4,1,1,12,212084,17673
list-dl-none,2,2,1,12,159858,13321
list-dl-none,2,4,1,24,219727,9155
list-dl-none,2,8,1,48,344849,7184
list-dl-none,4,16,1,192,1479233,7704
list-i-s,2,1,1,6,340348,56724
list-i-s,4,1,1,12,591772,49314
list-i-s,8,1,1,24,625111,26046
list-i-s,12,1,1,36,1924742,53465
list-i-s,2,2,1,12,394724,32893
list-i-s,4,2,1,24,627808,26158
list-i-s,8,2,1,48,1358771,28307
list-i-s,12,2,1,72,1876597,26063
list-i-s,2,4,1,24,331095,13795
list-i-s,4,4,1,48,556742,11598
list-i-s,8,4,1,96,377250,3929
list-i-s,12,4,1,144,489271,3397
list-i-s,2,8,1,48,184446,3842
list-i-s,4,8,1,96,604633,6298
list-i-s,8,8,1,192,1446150,7532
list-i-s,12,8,1,288,2109673,7325
list-i-s,2,16,1,96,296952,3093
list-i-s,4,16,1,192,846810,4410
list-i-s,8,16,1,384,1721421,4482
list-i-s,12,16,1,576,1875370,3255
list-i-s,2,32,1,192,652438,3398
list-i-s,4,32,1,384,1496180,3896
list-i-s,8,32,1,768,1396325,1818
list-i-s,12,32,1,1152,4958878,4304
list-d-s,2,1,1,6,455548,75924
list-d-s,4,1,1,12,607462,50621
list-d-s,8,1,1,24,1200664,50027
list-d-s,12,1,1,36,2213898,61497
list-d-s,2,2,1,12,376048,31337
list-d-s,4,2,1,24,157252,6552
list-d-s,8,2,1,48,330742,6890
list-d-s,12,2,1,72,501183,6960
list-d-s,2,4,1,24,107401,4475
list-d-s,4,4,1,48,534737,11140
list-d-s,8,4,1,96,580709,6049
list-d-s,12,4,1,144,1646071,11431
list-d-s,2,8,1,48,182509,3802
list-d-s,4,8,1,96,292480,3046
list-d-s,8,8,1,192,407707,2123
list-d-s,12,8,1,288,539242,1872
list-d-s,2,16,1,96,464304,4836
list-d-s,4,16,1,192,410046,2135
list-d-s,8,16,1,384,683827,1780
list-d-s,12,16,1,576,1143742,1985
list-d-s,2,32,1,192,397094,2068
list-d-s,4,32,1,384,790747,2059
list-d-s,8,32,1,768,2349252,3058
list-d-s,12,32,1,1152,3860904,3351
list-il-s,2,1,1,6,149461,24910
list-il-s,4,1,1,12,195583,16298
list-il-s,8,1,1,24,362316,15096
list-il-s,12,1,1,36,551350,15315
list-il-s,2,2,1,12,167092,13924
